Date,Symbol,Open,High,Low,Close,Volume From,Volume To,,,,
0.04,ETHBTC,0.0109,0.01096,0.01068,0.01075,3866.06,41.61,,,,
0.0402,ETHBTC,0.01075,0.01107,0.01053,0.01054,6985.8,74.78,,,,
0.0404,ETHBTC,0.01054,0.01055,0.00988,0.01001,13981.79,142.15,,,,
0.0406,ETHBTC,0.01001,0.01018,0.00994,0.00999,4234.96,42.39,,,,
0.0408,ETHBTC,0.00999,0.01004,0.00948,0.00971,12884.22,124.15,,,,
0.041,ETHBTC,0.00971,0.01006,0.00971,0.01,7160.2,70.98,,,,
0.0412,ETHBTC,0.01,0.01,0.00962,0.00962,5859.35,57.25,,,,
0.0414,ETHBTC,0.00962,0.00974,0.00948,0.00948,2510.83,24.16,,,,
0.0416,ETHBTC,0.00948,0.00968,0.00943,0.0095,10641.31,101.55,,,,
0.0418,ETHBTC,0.0095,0.00953,0.00861,0.00889,20001.92,180.73,,,,
0.042,ETHBTC,0.00889,0.00889,0.00776,0.00776,16205.82,132.81,,,,
0.0422,ETHBTC,0.00776,0.00831,0.00772,0.00809,8050.26,64.66,,,,
0.0424,ETHBTC,0.00809,0.00842,0.00803,0.00803,24595.71,201.76,,,,
0.0426,ETHBTC,0.00803,0.00821,0.00781,0.00806,3874.03,31.08,,,,
0.0428,ETHBTC,0.00806,0.00811,0.00753,0.00773,9490.28,73.17,,,,
0.043,ETHBTC,0.00773,0.0085,0.00732,0.00776,18845.44,144.75,,,,
0.0432,ETHBTC,0.00776,0.00884,0.0077,0.00846,16331.41,136.18,,,,
0.0434,ETHBTC,0.00846,0.00894,0.00842,0.0085,6573.62,57.69,,,,
0.0436,ETHBTC,0.0085,0.00859,0.00826,0.00832,3992.89,33.53,,,,
0.0438,ETHBTC,0.00832,0.00893,0.00807,0.00821,8470.37,72.31,,,,
0.044,ETHBTC,0.00821,0.00839,0.00785,0.0082,8874.11,71.72,,,,
0.0442,ETHBTC,0.0082,0.01048,0.00808,0.00934,21946.71,202.95,,,,
0.0444,ETHBTC,0.00934,0.01013,0.00907,0.00963,29601.28,288.26,,,,
0.0446,ETHBTC,0.00963,0.0105,0.0093,0.01025,64837.88,649.25,,,,
0.0448,ETHBTC,0.01025,0.01176,0.0101,0.01142,44151.25,479.41,,,,
0.045,ETHBTC,0.01142,0.01188,0.01075,0.01094,36012.32,405.74,,,,
0.0452,ETHBTC,0.01094,0.01147,0.01063,0.01132,13044.81,145.27,,,,
0.0454,ETHBTC,0.01132,0.0123,0.01124,0.01137,31875.84,373.11,,,,
0.0456,ETHBTC,0.01137,0.01189,0.01127,0.01165,8658.97,100.45,,,,
0.0458,ETHBTC,0.01165,0.0125,0.01143,0.01231,56622.1,682.51,,,,
0.046,ETHBTC,0.01231,0.01265,0.0119,0.01203,30055.8,367.72,,,,
0.0462,ETHBTC,0.01203,0.01224,0.0115,0.01177,16664.95,196.44,,,,
0.0464,ETHBTC,0.01177,0.01196,0.01149,0.01186,17621.79,205.27,,,,
0.0466,ETHBTC,0.01186,0.01207,0.01179,0.01194,10563.54,126.05,,,,
0.0468,ETHBTC,0.01194,0.01194,0.01143,0.01154,16558.35,192.27,,,,
0.047,ETHBTC,0.01154,0.01198,0.01108,0.01118,20192.2,230.63,,,,
0.0472,ETHBTC,0.01118,0.01177,0.01118,0.01157,8619.8,99.95,,,,
0.0474,ETHBTC,0.01157,0.01162,0.01131,0.01162,3982.89,45.87,,,,
0.0476,ETHBTC,0.01162,0.01203,0.01155,0.01183,4432.25,52.44,,,,
0.0478,ETHBTC,0.01183,0.01199,0.0115,0.01186,5049.16,59.44,,,,
0.048,ETHBTC,0.01186,0.01186,0.01162,0.01163,3476.03,40.67,,,,
0.0482,ETHBTC,0.01163,0.01173,0.01156,0.0117,3828.95,44.57,,,,
0.0484,ETHBTC,0.0117,0.01188,0.01162,0.01184,6137.08,72.01,,,,
0.0486,ETHBTC,0.01184,0.0119,0.01158,0.01172,6744.61,79,,,,
0.0488,ETHBTC,0.01172,0.01182,0.01147,0.01161,11338.33,131.63,,,,
0.049,ETHBTC,0.01161,0.01161,0.01136,0.01142,8863.33,101.42,,,,
0.0492,ETHBTC,0.01142,0.01146,0.01129,0.01144,1694.06,19.33,,,,
0.0494,ETHBTC,0.01144,0.01148,0.01136,0.01139,2934.94,33.47,,,,
0.0496,ETHBTC,0.01139,0.01169,0.01137,0.01145,8044.72,92.6,,,,
0.0498,ETHBTC,0.01145,0.01149,0.01103,0.01103,9427.32,105.9,,,,
0.05,ETHBTC,0.01103,0.01121,0.01071,0.01084,8831.93,96.45,,,,
0.0502,ETHBTC,0.01084,0.01086,0.01066,0.01078,7883.45,84.63,,,,
0.0504,ETHBTC,0.01078,0.0108,0.01042,0.01078,7024.14,74.87,,,,
0.0506,ETHBTC,0.01078,0.01125,0.01077,0.01097,9236.28,101.92,,,,
0.0508,ETHBTC,0.01097,0.01112,0.01084,0.01107,3769.28,41.51,,,,
0.051,ETHBTC,0.01107,0.0111,0.01091,0.01104,4405.49,48.55,,,,
0.0512,ETHBTC,0.01104,0.01108,0.01085,0.01087,5187.95,56.65,,,,
0.0514,ETHBTC,0.01087,0.01108,0.01071,0.01075,10889.04,117.9,,,,
0.0516,ETHBTC,0.01075,0.0115,0.01062,0.01113,27838.1,307.11,,,,
0.0518,ETHBTC,0.01113,0.01153,0.01106,0.01131,11318.03,127.78,,,,
0.052,ETHBTC,0.01131,0.01141,0.01116,0.01127,4642.65,52.21,,,,
0.0522,ETHBTC,0.01127,0.01139,0.01124,0.01136,2367.89,26.8,,,,
0.0524,ETHBTC,0.01136,0.01145,0.0112,0.01137,4688.85,53.24,,,,
0.0526,ETHBTC,0.01137,0.01399,0.01136,0.01279,39487.77,488.72,,,,
0.0528,ETHBTC,0.01279,0.01308,0.01252,0.01285,13636.89,173.8,,,,
0.053,ETHBTC,0.01285,0.01297,0.01222,0.01242,9270.72,115.26,,,,
0.0532,ETHBTC,0.01242,0.01249,0.01187,0.01207,14271.79,173.3,,,,
0.0534,ETHBTC,0.01207,0.01219,0.01192,0.01215,6954.42,83.86,,,,
0.0536,ETHBTC,0.01215,0.01229,0.01206,0.01214,3816.48,46.42,,,,
0.0538,ETHBTC,0.01214,0.01232,0.01151,0.01151,8277.72,98.46,,,,
0.054,ETHBTC,0.01151,0.01196,0.01127,0.01132,24882.95,284.97,,,,
0.0542,ETHBTC,0.01132,0.01157,0.01114,0.01125,7005.61,79.35,,,,
0.0544,ETHBTC,0.01125,0.0114,0.01105,0.0112,8595.59,96.35,,,,
0.0546,ETHBTC,0.0112,0.01156,0.01077,0.01107,23041.93,256.35,,,,
0.0548,ETHBTC,0.01107,0.01199,0.01095,0.01178,16716.29,193.78,,,,
0.055,ETHBTC,0.01178,0.0125,0.01162,0.0124,26604.38,318.92,,,,
0.0552,ETHBTC,0.0124,0.0136,0.01214,0.01303,48640.8,614.81,,,,
0.0554,ETHBTC,0.01303,0.01446,0.01272,0.0136,58888.73,778.16,,,,
0.0556,ETHBTC,0.0136,0.01424,0.01276,0.01414,41311.51,549.39,,,,
0.0558,ETHBTC,0.01414,0.0155,0.01366,0.01511,59033.59,872.07,,,,
0.056,ETHBTC,0.01511,0.0165,0.01433,0.01505,50804.08,788.29,,,,
0.0562,ETHBTC,0.01505,0.01563,0.0146,0.0146,21328.88,325.34,,,,
0.0564,ETHBTC,0.0146,0.01527,0.0144,0.01514,12598.03,188.59,,,,
0.0566,ETHBTC,0.01514,0.01577,0.01497,0.01525,17596.21,270.22,,,,
0.0568,ETHBTC,0.01525,0.01576,0.01497,0.01526,24140.25,370.18,,,,
0.057,ETHBTC,0.01526,0.01537,0.01445,0.01446,36613.89,546.87,,,,
0.0572,ETHBTC,0.01446,0.01497,0.01414,0.01484,17379.59,254.67,,,,
0.0574,ETHBTC,0.01484,0.02,0.01418,0.01728,64198.54,1018.55,,,,
0.0576,ETHBTC,0.01728,0.0192,0.01624,0.01817,31675.43,546.23,,,,
0.0578,ETHBTC,0.01817,0.01999,0.01786,0.01899,31765.08,596.03,,,,
0.058,ETHBTC,0.01899,0.02499,0.01899,0.02293,111480.38,2483.44,,,,
0.0582,ETHBTC,0.02293,0.02415,0.02187,0.02294,33954.96,776.16,,,,
0.0584,ETHBTC,0.02294,0.0281,0.0227,0.02807,49857.32,1259.87,,,,
0.0586,ETHBTC,0.02807,0.04078,0.02807,0.03919,109139.13,3683.17,,,,
0.0588,ETHBTC,0.03919,0.055,0.032,0.04177,105938.09,4372.05,,,,
